Source,Target
JAD:R' U' D' R' D R U' R' D' R U2 D R,JDA:R' U2 D' R' D R U R' D' R U D R
JAD:R' U' D' R' D R U' R' D' R U2 D R,JMG:U R' D R U' R' D' R
JAD:R' U' D' R' D R U' R' D' R U2 D R,JAY:D' R' D R U' R' D' R U D
JAE:U' R2 D R' U2 R D' R' U2 R' U,JBG:R2 D R' U2 R D' R' U2 R'
JAE:U' R2 D R' U2 R D' R' U2 R' U,JEA:U' R U2 R D R' U2 R D' R2 U
JAE:U' R2 D R' U2 R D' R' U2 R' U,JFI:U R2 D R' U2 R D' R' U2 R' U'
JAF:U' R' U' R' D' R U R' D R2 U,JCG:R' U' R' D' R U R' D R2
JAF:U' R' U' R' D' R U R' D R2 U,JFA:U' R2 D' R U' R' D R U R U
JAG:R F' R' U R' D R U' R' D' R2 F R',JGA:R F' R2 D R U R' D' R U' R F R'
JAG:R F' R' U R' D R U' R' D' R2 F R',JZN:R U R' D R U' R' D'
JAG:R F' R' U R' D R U' R' D' R2 F R',JMG:U R' D R U' R' D' R
JAH:R' U' D' R' D R U R' D' R D R,JHA:R' D' R' D R U' R' D' R U D R
JAH:R' U' D' R' D R U R' D' R D R,JYA:U' D' R' D R U R' D' R D
JAI:U' R' U2 R' D' R U2 R' D R2 U,JFG:R' U2 R' D' R U2 R' D R2
JAI:U' R' U2 R' D' R U2 R' D R2 U,JIA:U' R2 D' R U2 R' D R U2 R U
JAI:U' R' U2 R' D' R U2 R' D R2 U,JXC:R U' R' U2 R' D' R U2 R' D R2 U R'
JAM:R' D R U' R' D' R U,JAY:D' R' D R U' R' D' R U D
JAM:R' D R U' R' D' R U,JMA:U' R' D R U R' D' R
JAM:R' D R U' R' D' R U,JMG:U R' D R U' R' D' R
JAM:R' D R U' R' D' R U,JNE:R U2 R' D R U' R' D' R U' R'
JAM:R' D R U' R' D' R U,JOW:R B R' U2 R' D R U' R' D' R U' R B' R'
JAM:R' D R U' R' D' R U,JZA:U' R' D' R U R' D R
JAM:R' D R U' R' D' R U,JCG:R' U' R' D' R U R' D R2
JAM:R' D R U' R' D' R U,JAR:R D' R2 D R U' R' D' R U R D R'
JAM:R' D R U' R' D' R U,JFW:U' R2 D R U' R' D' R U R U
JAM:R' D R U' R' D' R U,JMY:U D R U' R' D' R U R' U'
JAM:R' D R U' R' D' R U,JHN:R' F D R U' R' D' R U R' F' R
JAM:R' D R U' R' D' R U,JME:U R2 D R U' R' D' R U R U'
JAM:R' D R U' R' D' R U,JMT:R F R2 D R U' R' D' R U R F' R'
JAM:R' D R U' R' D' R U,JOA:R' B R U' R' D' R U R' D B' R
JAM:R' D R U' R' D' R U,JOD:R' U' D' R D R U' R' D' R U R2 U D R
JAN:D R' D' R U' R' D R U D',JAZ:R' D' R U' R' D R U
JAN:D R' D' R U' R' D R U D',JNA:U' D R' D' R U R' D R D'
JAN:D R' D' R U' R' D R U D',JNG:U D R' D' R U' R' D R D'
JAN:D R' D' R U' R' D R U D',JOM:R B R' U2 D R' D' R U' R' D R U' D' R B' R'
JAN:D R' D' R U' R' D R U D',JWE:R U2 D R' D' R U' R' D R U' D' R'
JAO:R' B D' R U' R' D R U R' B' R,JAZ:R' D' R U' R' D R U
JAO:R' B D' R U' R' D R U R' B' R,JOA:R' B R U' R' D' R U R' D B' R
JAO:R' B D' R U' R' D R U R' B' R,JMA:U' R' D R U R' D' R
JAP:U' D' R D R' U' R D' R' U2 D,JAS:U' R D R' U' R D' R' U2
JAP:U' D' R D R' U' R D' R' U2 D,JPA:U2 D' R D R' U R D' R' U D
JAP:U' D' R D R' U' R D' R' U2 D,JPE:U R' U' D' R D R' U' R D' R' U2 D R U'
JAP:U' D' R D R' U' R D' R' U2 D,JPG:D' R D R' U' R D' R' U D
JAQ:U' R D' R' U' R D R' U2,JAT:U' D R D' R' U' R D R' U2 D'
JAQ:U' R D' R' U' R D R' U2,JFP:U' R' U' R D' R' U' R D R' U2 R U
JAQ:U' R D' R' U' R D R' U2,JGS:U' R D R' U R D' R'
JAQ:U' R D' R' U' R D R' U2,JQA:U2 R D' R' U R D R' U
JAQ:U' R D' R' U' R D R' U2,JQG:R D' R' U' R D R' U
JAQ:U' R D' R' U' R D R' U2,JQY:U R U' R D' R' U' R D R' U2 R' U'
JAR:R D' R2 D R U' R' D' R U R D R',JRA:R D' R' U' R' D R U R' D' R2 D R'
JAR:R D' R2 D R U' R' D' R U R D R',JZA:U' R' D' R U R' D R
JAS:U' R D R' U' R D' R' U2,JFY:U' R' U' R D R' U' R D' R' U2 R U
JAS:U' R D R' U' R D' R' U2,JGQ:U' R D' R' U R D R'
JAS:U' R D R' U' R D' R' U2,JSA:U2 R D R' U R D' R' U
JAS:U' R D R' U' R D' R' U2,JSG:R D R' U' R D' R' U
JAT:U' D R D' R' U' R D R' U2 D',JTA:U2 D R D' R' U R D R' U D'
JAT:U' D R D' R' U' R D R' U2 D',JTG:D R D' R' U' R D R' U D'
JAW:R2 F R U R' D' R U2 R' D R U R' F' R2,JBT:R U R' D' R U2 R' D R U R'
JAW:R2 F R U R' D' R U2 R' D R U R' F' R2,JWA:R2 F R U' R' D' R U2 R' D R U' R' F' R2
JAX:R' D R U' R D' R' U' R D R' U R' D' R U,JIB:R2 D R U' R D' R' U' R D R' U R' D' R U R
JAX:R' D R U' R D' R' U' R D R' U R' D' R U,JXA:U' R' D R U' R D' R' U R D R' U R' D' R
JAX:R' D R U' R D' R' U' R D R' U R' D' R U,JXG:U R' D R U' R D' R' U' R D R' U R' D' R
JAX:R' D R U' R D' R' U' R D R' U R' D' R U,JZR:R U R' D R U' R D' R' U' R D R' U R' D'
JAY:D' R' D R U' R' D' R U D,JHA:R' D' R' D R U' R' D' R U D R
JAY:D' R' D R U' R' D' R U D,JRY:U R D' R' D R U' R' D' R U D R' U'
JAY:D' R' D R U' R' D' R U D,JSE:R U2 D' R' D R U' R' D' R U' D R'
JAY:D' R' D R U' R' D' R U D,JYA:U' D' R' D R U R' D' R D
JAY:D' R' D R U' R' D' R U D,JYG:U D' R' D R U' R' D' R D
JAZ:R' D' R U' R' D R U,JCF:R' U' R' D' R U' R' D R U2 R
JAZ:R' D' R U' R' D R U,JFS:R' U2 R' D' R U' R' D R U' R
JAZ:R' D' R U' R' D R U,JGC:R2 D' R U' R' D R U R
JAZ:R' D' R U' R' D R U,JTE:R U2 R' D' R U' R' D R U' R'
JAZ:R' D' R U' R' D R U,JZA:U' R' D' R U R' D R
JAZ:R' D' R U' R' D R U,JZG:U R' D' R U' R' D R
JAZ:R' D' R U' R' D R U,JMA:U' R' D R U R' D' R
JAZ:R' D' R U' R' D R U,JSY:U D' R U' R' D R U R' U'
JAZ:R' D' R U' R' D R U,JDO:R' U' D' R2 U' R' D R U R' D' R' U D R
JAZ:R' D' R U' R' D R U,JEM:U R' U' R' D R U R' D' R2 U'
JAZ:R' D' R U' R' D R U,JNH:R' F R U' R' D R U R' D' F' R
JAZ:R' D' R U' R' D R U,JRA:R D' R' U' R' D R U R' D' R2 D R'
JAZ:R' D' R U' R' D R U,JTM:R F R' U' R' D R U R' D' R2 F' R'
JAZ:R' D' R U' R' D R U,JWF:U' R' U' R' D R U R' D' R2 U
JBD:R' F R U D R' D' R U R' D R U2 D' R' F' R,JDB:R' F R U2 D R' D' R U' R' D R U' D' R' F' R
JBD:R' F R U D R' D' R U R' D R U2 D' R' F' R,JEW:R U D R' D' R U R' D R U2 D' R'
JBE:R2 D R' U2 R D' R' U' R D R' U' R D' R2,JEB:R2 D R' U R D' R' U R D R' U2 R D' R2
JBE:R2 D R' U2 R D' R' U' R D R' U' R D' R2,JGS:U' R D R' U R D' R'
JBE:R2 D R' U2 R D' R' U' R D R' U' R D' R2,JQG:R D' R' U' R D R' U
JBF:R2 U' R U R' D' R U2 R' D R U R' U R2,JBT:R U R' D' R U2 R' D R U R'
JBF:R2 U' R U R' D' R U2 R' D R U R' U R2,JFB:R2 U' R U' R' D' R U2 R' D R U' R' U R2
JBG:R2 D R' U2 R D' R' U2 R',JFI:U R2 D R' U2 R D' R' U2 R' U'
JBG:R2 D R' U2 R D' R' U2 R',JGB:R U2 R D R' U2 R D' R2
JBG:R2 D R' U2 R D' R' U2 R',JWR:U R' F R2 D R' U2 R D' R' U2 R' F' R U'
JBH:R D R D' R' U2 R D R' U2 D' R',JCD:U' R D R D' R' U2 R D R' U2 D' R' U
JBH:R D R D' R' U2 R D R' U2 D' R',JHB:R U2 D R D' R' U2 R D R' D' R'
JBI:R' U' R' D R U' R D' R' U R D R' U R' D' R2,JIB:R2 D R U' R D' R' U' R D R' U R' D' R U R
JBI:R' U' R' D R U' R D' R' U R D R' U R' D' R2,JRZ:D R U' R D' R' U R D R' U R' D' R U' R'
JBI:R' U' R' D R U' R D' R' U R D R' U R' D' R2,JXA:U' R' D R U' R D' R' U R D R' U R' D' R
JBM:R' D F2 D' R D R' F2 R D',JBY:D' R' D F2 D' R D R' F2 R
JBM:R' D F2 D' R D R' F2 R D',JMB:D R' F2 R D' R' D F2 D' R
JBN:R U R' D R U2 R' D' R U R',JMD:U2 R' D R U2 R' D' R
JBN:R U R' D R U2 R' D' R U R',JMI:U R U R' D R U2 R' D' R U R' U'
JBN:R U R' D R U2 R' D' R U R',JNB:R U' R' D R U2 R' D' R U' R'
JBN:R U R' D R U2 R' D' R U R',JDM:R' D R U2 R' D' R U2
JBO:R2 D' R' U2 R D R' U2 R',JBR:D R2 D' R' U2 R D R' U2 R' D'
JBO:R2 D' R' U2 R D R' U2 R',JOB:R U2 R D' R' U2 R D R2
JBO:R2 D' R' U2 R D R' U2 R',JQI:U R2 D' R' U2 R D R' U2 R' U'
JBO:R2 D' R' U2 R D R' U2 R',JWP:U R' F R2 D' R' U2 R D R' U2 R' F' R U'
JBP:U' D' R D R' U R' F R2 D' R' D R' F' R,JOI:D' R D R' U R' F R2 D' R' D R' F' R U'
JBP:U' D' R D R' U R' F R2 D' R' D R' F' R,JPB:R' F R D' R D R2 F' R U' R D' R' U D
JBP:U' D' R D R' U R' F R2 D' R' D R' F' R,JQW:F' R U' D' R D R' U R' F R2 D' R' D R'
JBQ:R D' R D R' U2 R D' R' U2 D R',JQB:R U2 D' R D R' U2 R D' R' D R'
JBR:D R2 D' R' U2 R D R' U2 R' D',JRB:D R U2 R D' R' U2 R D R2 D'
JBR:D R2 D' R' U2 R D R' U2 R' D',JTI:U D R2 D' R' U2 R D R' U2 R' U' D'
JBR:D R2 D' R' U2 R D R' U2 R' D',JXD:U R' D R2 D' R' U2 R D R' U2 R' D' R U'
JBS:R U D' R' D R U2 R' D' R U D R',JMD:U2 R' D R U2 R' D' R
JBS:R U D' R' D R U2 R' D' R U D R',JSB:R U' D' R' D R U2 R' D' R U' D R'
JBS:R U D' R' D R U2 R' D' R U D R',JDY:D' R' D R U2 R' D' R U2 D
JBT:R U R' D' R U2 R' D R U R',JBZ:D R U R' D' R U2 R' D R U R' D'
JBT:R U R' D' R U2 R' D R U R',JSC:R' U R' D' R U2 R' D R U R
JBT:R U R' D' R U2 R' D R U R',JSI:U R U R' D' R U2 R' D R U R' U'
JBT:R U R' D' R U2 R' D R U R',JTB:R U' R' D' R U2 R' D R U' R'
JBT:R U R' D' R U2 R' D R U R',JZD:U2 R' D' R U2 R' D R
JBT:R U R' D' R U2 R' D R U R',JDZ:R' D' R U2 R' D R U2
JBW:R U D R' D' R U2 R' D R U D' R',JBX:D' R U D R' D' R U2 R' D R U D' R' D
JBW:R U D R' D' R U2 R' D R U D' R',JWB:R U' D R' D' R U2 R' D R U' D' R'
JBW:R U D R' D' R U2 R' D R U D' R',JZD:U2 R' D' R U2 R' D R
JBW:R U D R' D' R U2 R' D R U D' R',JDN:D R' D' R U2 R' D R U2 D'
JBX:D' R U D R' D' R U2 R' D R U D' R' D,JIC:R' D' R U D R' D' R U2 R' D R U D' R' D R
JBX:D' R U D R' D' R U2 R' D R U D' R' D,JXB:D' R U' D R' D' R U2 R' D R U' D' R' D
JBY:D' R' D F2 D' R D R' F2 R,JYB:R' F2 R D' R' D F2 D' R D
JBZ:D R U R' D' R U2 R' D R U R' D',JZB:D R U' R' D' R U2 R' D R U' R' D'
JCD:U' R D R D' R' U2 R D R' U2 D' R' U,JDC:U' R U2 D R D' R' U2 R D R' D' R' U
JCE:R U' R' U' R' D' R U' R' D R U2 R U R',JCF:R' U' R' D' R U' R' D R U2 R
JCE:R U' R' U' R' D' R U' R' D R U2 R U R',JEC:R U' R' U2 R' D' R U R' D R U R U R'
JCF:R' U' R' D' R U' R' D R U2 R,JFC:R' U2 R' D' R U R' D R U R
JCF:R' U' R' D' R U' R' D R U2 R,JZG:U R' D' R U' R' D R
JCG:R' U' R' D' R U R' D R2,JGC:R2 D' R U' R' D R U R
JCG:R' U' R' D' R U R' D R2,JYE:R U R' U' R' D' R U R' D R2 U' R'
JCG:R' U' R' D' R U R' D R2,JZA:U' R' D' R U R' D R
JCH:R' F R U R' D R U' R' D' F' R,JHC:R' F D R U R' D' R U' R' F' R
JCH:R' F R U R' D R U' R' D' F' R,JZN:R U R' D R U' R' D'
JCI:R' D' R U' D R' D' R U2 R' D R U' D' R' D R,JIC:R' D' R U D R' D' R U2 R' D R U D' R' D R
JCI:R' D' R U' D R' D' R U2 R' D R U' D' R' D R,JXB:D' R U' D R' D' R U2 R' D R U' D' R' D
JCM:R' U' D R U R' D' R U' R' U R,JCY:D' R' U' D R U R' D' R U' R' U R D
JCM:R' U' D R U R' D' R U' R' U R,JMC:R' U' R U R' D R U' R' U D' R
JCM:R' U' D R U R' D' R U' R' U R,JNZ:D R U R' D' R U' R'
JCN:D R' U' D' R U R' D R U' R' U R D',JCZ:R' U' D' R U R' D R U' R' U R
JCN:D R' U' D' R U R' D R U' R' U R D',JNC:D R' U' R U R' D' R U' R' U D R D'
JCO:R2 D' R2 U' R U R2 D R2 U' R' U,JOC:U' R U R2 D' R2 U' R' U R2 D R2
JCO:R2 D' R2 U' R U R2 D R2 U' R' U,JPH:U R2 D' R2 U' R U R2 D R2 U' R'
JCO:R2 D' R2 U' R U R2 D R2 U' R' U,JOT:U' R' U R2 D' R2 U' R U R2 D R2
JCP:U2 R U R' U' R D' R' U R U' D R' U2,JPC:U2 R U D' R' U' R D R' U R U' R' U2
JCP:U2 R U R' U' R D' R' U R U' D R' U2,JSG:R D R' U' R D' R' U
JCP:U2 R U R' U' R D' R' U R U' D R' U2,JGQ:U' R D' R' U R D R'
JCQ:U' R U' D' R' U R D R' U' R U R' U,JOH:R U' D' R' U R D R' U' R U R'
JCQ:U' R U' D' R' U R D R' U' R U R' U,JQC:U' R U' R' U R D' R' U' R U D R' U
JCR:U2 R U R' U' R D R' U R U' D' R' U2,JQG:R D' R' U' R D R' U
JCR:U2 R U R' U' R D R' U R U' D' R' U2,JRC:U2 R U D R' U' R D' R' U R U' R' U2
JCR:U2 R U R' U' R D R' U R U' D' R' U2,JSH:U' R U R' U' R D R' U R U' D' R' U
JCR:U2 R U R' U' R D R' U R U' D' R' U2,JGS:U' R D R' U R D' R'
JCS:R' U' R' D' R U2 R' D R U' R,JSC:R' U R' D' R U2 R' D R U R
JCS:R' U' R' D' R U2 R' D R U' R,JTB:R U' R' D' R U2 R' D R U' R'
JCS:R' U' R' D' R U2 R' D R U' R,JZD:U2 R' D' R U2 R' D R
JCS:R' U' R' D' R U2 R' D R U' R,JDZ:R' D' R U2 R' D R U2
JCT:R2 U' R2 D' R U R' D R U' R U R2,JGZ:R' D' R U R' D R U'
JCT:R2 U' R2 D' R U R' D R U' R U R2,JTC:R2 U' R' U R' D' R U' R' D R2 U R2
JCT:R2 U' R2 D' R U R' D R U' R U R2,JTZ:D' R U R' D R U' R'
JCW:U' R' U R U' R' D R U R' U' D' R U,JMH:R' U R U' R' D R U R' U' D' R
JCW:U' R' U R U' R' D R U R' U' D' R U,JWC:U' R' U D R U' R' D' R U R' U' R U
JCX:R U' R2 D' R U2 R' D R U2 R U R',JIA:U' R2 D' R U2 R' D R U2 R U
JCX:R U' R2 D' R U2 R' D R U2 R U R',JXC:R U' R' U2 R' D' R U2 R' D R2 U R'
JCY:D' R' U' D R U R' D' R U' R' U R D,JYC:D' R' U' R U R' D R U' R' U D' R D
JCZ:R' U' D' R U R' D R U' R' U R,JTZ:D' R U R' D R U' R'
JCZ:R' U' D' R U R' D R U' R' U R,JXH:U R' U' D' R U R' D R U' R' U R U'
JCZ:R' U' D' R U R' D R U' R' U R,JZC:R' U' R U R' D' R U' R' U D R
JDA:R' U2 D' R' D R U R' D' R U D R,JMA:U' R' D R U R' D' R
JDA:R' U2 D' R' D R U R' D' R U D R,JGY:D' R' D R U R' D' R U' D
JDB:R' F R U2 D R' D' R U' R' D R U' D' R' F' R,JWE:R U2 D R' D' R U' R' D R U' D' R'
JDC:U' R U2 D R D' R' U2 R D R' D' R' U,JHB:R U2 D R D' R' U2 R D R' D' R'
JDG:R' B' R2 D R' U' R D' R' U R' B R,JGD:R' B' R U' R D R' U R D' R2 B R
JDG:R' B' R2 D R' U' R D' R' U R' B R,JSG:R D R' U' R D' R' U
JDG:R' B' R2 D R' U' R D' R' U R' B R,JGQ:U' R D' R' U R D R'
JDH:R' U2 D' R' D R U2 R' D' R D R,JHD:R' D' R' D R U2 R' D' R U2 D R
JDH:R' U2 D' R' D R U2 R' D' R D R,JYD:U2 D' R' D R U2 R' D' R D
JDI:R D R' U' D' R D R' U2 R D' R' U' D R D' R',JDP:U' D' R D R' U2 R D' R' U' D
JDI:R D R' U' D' R D R' U2 R D' R' U' D R D' R',JID:R D R' U D' R D R' U2 R D' R' U D R D' R'
JDM:R' D R U2 R' D' R U2,JDY:D' R' D R U2 R' D' R U2 D
JDM:R' D R U2 R' D' R U2,JMD:U2 R' D R U2 R' D' R
JDM:R' D R U2 R' D' R U2,JNB:R U' R' D R U2 R' D' R U' R'
JDM:R' D R U2 R' D' R U2,JFG:R' U2 R' D' R U2 R' D R2
JDM:R' D R U2 R' D' R U2,JZD:U2 R' D' R U2 R' D R
JDM:R' D R U2 R' D' R U2,JDR:R D' R2 D R U2 R' D' R U2 R D R'
JDM:R' D R U2 R' D' R U2,JIW:U' R2 D R U2 R' D' R U2 R U
JDM:R' D R U2 R' D' R U2,JOS:R' B R U2 R' D' R U2 R' D B' R
JDN:D R' D' R U2 R' D R U2 D',JDZ:R' D' R U2 R' D R U2
JDN:D R' D' R U2 R' D R U2 D',JND:U2 D R' D' R U2 R' D R D'
JDN:D R' D' R U2 R' D R U2 D',JWB:R U' D R' D' R U2 R' D R U' D' R'
JDN:D R' D' R U2 R' D R U2 D',JWX:R U' R' D R' D' R U2 R' D R U2 D' R U R'
JDO:R' U' D' R2 U' R' D R U R' D' R' U D R,JOD:R' U' D' R D R U' R' D' R U R2 U D R
JDO:R' U' D' R2 U' R' D R U R' D' R' U D R,JMA:U' R' D R U R' D' R
JDP:U' D' R D R' U2 R D' R' U' D,JDS:U' R D R' U2 R D' R' U'
JDP:U' D' R D R' U2 R D' R' U' D,JPD:U D' R D R' U2 R D' R' U D
JDP:U' D' R D R' U2 R D' R' U' D,JQX:R U' R' U' D' R D R' U2 R D' R' U' D R U R'
JDQ:U' R D' R' U2 R D R' U',JDT:U' D R D' R' U2 R D R' U' D'
JDQ:U' R D' R' U2 R D R' U',JIP:U' R' U' R D' R' U2 R D R' U' R U
JDQ:U' R D' R' U2 R D R' U',JQD:U R D' R' U2 R D R' U
JDR:R D' R2 D R U2 R' D' R U2 R D R',JRD:R D' R' U2 R' D R U2 R' D' R2 D R'
JDR:R D' R2 D R U2 R' D' R U2 R D R',JZD:U2 R' D' R U2 R' D R
JDS:U' R D R' U2 R D' R' U',JDW:R F' R' U' R D R' U2 R D' R' U' R F R'
JDS:U' R D R' U2 R D' R' U',JIY:U' R' U' R D R' U2 R D' R' U' R U
JDS:U' R D R' U2 R D' R' U',JSD:U R D R' U2 R D' R' U
JDT:U' D R D' R' U2 R D R' U' D',JRX:R U' R' U' D R D' R' U2 R D R' U' D' R U R'
JDT:U' D R D' R' U2 R D R' U' D',JTD:U D R D' R' U2 R D R' U D'
JDW:R F' R' U' R D R' U2 R D' R' U' R F R',JWD:R F' R' U R D R' U2 R D' R' U R F R'
JDX:U R' D R U2 R D' R' U2 R D R2 D' R U',JRB:D R U2 R D' R' U2 R D R2 D'
JDX:U R' D R U2 R D' R' U2 R D R2 D' R U',JXD:U R' D R2 D' R' U2 R D R' U2 R' D' R U'
JDY:D' R' D R U2 R' D' R U2 D,JHD:R' D' R' D R U2 R' D' R U2 D R
JDY:D' R' D R U2 R' D' R U2 D,JSB:R U' D' R' D R U2 R' D' R U' D R'
JDY:D' R' D R U2 R' D' R U2 D,JYD:U2 D' R' D R U2 R' D' R D
JDZ:R' D' R U2 R' D R U2,JGF:R2 D' R U2 R' D R U2 R
JDZ:R' D' R U2 R' D R U2,JSC:R' U R' D' R U2 R' D R U R
JDZ:R' D' R U2 R' D R U2,JTB:R U' R' D' R U2 R' D R U' R'
JDZ:R' D' R U2 R' D R U2,JZD:U2 R' D' R U2 R' D R
JDZ:R' D' R U2 R' D R U2,JMD:U2 R' D R U2 R' D' R
JDZ:R' D' R U2 R' D R U2,JRD:R D' R' U2 R' D R U2 R' D' R2 D R'
JDZ:R' D' R U2 R' D R U2,JSO:R' B D' R U2 R' D R U2 R' B' R
JDZ:R' D' R U2 R' D R U2,JWI:U' R' U2 R' D R U2 R' D' R2 U
JEA:U' R U2 R D R' U2 R D' R2 U,JGB:R U2 R D R' U2 R D' R2
JEA:U' R U2 R D R' U2 R D' R2 U,JIF:U R U2 R D R' U2 R D' R2 U'
JEB:R2 D R' U R D' R' U R D R' U2 R D' R2,JGQ:U' R D' R' U R D R'
